config,query_id,query,query_type,difficulty,scenario_id,precision_at_k,recall_at_k,mrr,root_cause_accuracy,confidence,iterations,latency_s
Dense-Only,Q001,What is the root cause of the failure affecting UE7?,root_cause,medium,S01,0.6664,0.4721,0.7246,0.5532,0.5334,1,2.57
Dense-Only,Q002,What error occurred in the RRC module and what were its downstream effects?,failure_tracing,medium,S01,0.5637,0.5572,0.7967,0.221,0.5116,1,2.84
Dense-Only,Q003,Trace the complete chain of events from enodeb_rrc.log to core_nw_amf.log that led to the rrc reconfiguration failure cascade.,multi_hop,hard,S01,0.457,0.0282,0.1858,0.1529,0.3648,1,3.06
Dense-Only,Q004,What events occurred during the rrc reconfiguration failure cascade incident and in what order?,temporal,medium,S01,0.6058,0.3554,0.2577,0.2169,0.5958,1,3.53
Dense-Only,Q005,What was the impact of the rrc reconfiguration failure cascade on user equipment and network services?,impact_analysis,medium,S01,0.5015,0.522,0.4438,0.3633,0.506,1,3.89
Dense-Only,Q006,What does error code RRC_RECONFIG_FAIL_004 indicate and what caused it?,error_code,easy,S01,0.7014,0.4277,0.7443,0.2861,0.6332,1,4.36
Dense-Only,Q007,What is the root cause of the failure affecting UE1?,root_cause,medium,S02,0.7212,0.2772,0.6544,0.0213,0.4514,1,4.49
Dense-Only,Q008,What error occurred in the SCTP module and what were its downstream effects?,failure_tracing,medium,S02,0.6361,0.5464,0.7761,0.1608,0.4323,1,3.02
Dense-Only,Q009,Trace the complete chain of events from transport_sctp.log to ran_cell.log that led to the sctp transport link failure.,multi_hop,hard,S02,0.339,0.5629,0.5168,0.0,0.4651,1,2.61
Dense-Only,Q010,What events occurred during the sctp transport link failure incident and in what order?,temporal,medium,S02,0.4883,0.5868,0.742,0.4422,0.6076,1,2.61
Dense-Only,Q011,What was the impact of the sctp transport link failure on user equipment and network services?,impact_analysis,medium,S02,0.452,0.4463,0.681,0.4518,0.5151,1,3.1
Dense-Only,Q012,What does error code SCTP_HEARTBEAT_TIMEOUT_084 indicate and what caused it?,error_code,easy,S02,0.7193,0.8239,0.6264,0.4983,0.6559,1,3.44
Dense-Only,Q013,What is the root cause of the failure affecting UE11?,root_cause,medium,S03,0.6438,0.3809,0.6788,0.5537,0.5483,1,3.55
Dense-Only,Q014,What error occurred in the HANDOVER module and what were its downstream effects?,failure_tracing,medium,S03,0.8659,0.4352,0.6253,0.1161,0.6292,1,3.52
Dense-Only,Q015,Trace the complete chain of events from ran_cell.log to enodeb_rrc.log that led to the inter-gnb handover failure.,multi_hop,hard,S03,0.3795,0.4369,0.6983,0.1535,0.3802,1,4.4
Dense-Only,Q016,What events occurred during the inter-gnb handover failure incident and in what order?,temporal,medium,S03,0.4687,0.5723,0.7853,0.3425,0.5746,1,2.84
Dense-Only,Q017,What was the impact of the inter-gnb handover failure on user equipment and network services?,impact_analysis,medium,S03,0.6093,0.6764,0.5157,0.2636,0.5216,1,4.17
Dense-Only,Q018,What does error code SCHED_RESOURCE_EXHAUST_137 indicate and what caused it?,error_code,easy,S03,0.5046,0.1336,0.8254,0.2916,0.612,1,3.16
Dense-Only,Q019,What is the root cause of the failure affecting UE22?,root_cause,medium,S04,0.5559,0.5697,0.9228,0.3367,0.5703,1,4.47
Dense-Only,Q020,What error occurred in the PCF module and what were its downstream effects?,failure_tracing,medium,S04,0.5905,0.5037,0.3672,0.1474,0.4766,1,2.53
Dense-Only,Q021,Trace the complete chain of events from core_nw_amf.log to cu_cp_f1ap.log that led to the pdu session establishment rejection.,multi_hop,hard,S04,0.4265,0.816,0.431,0.2835,0.4382,1,4.52
Dense-Only,Q022,What events occurred during the pdu session establishment rejection incident and in what order?,temporal,medium,S04,0.3567,0.6201,0.416,0.1745,0.609,1,3.98
Dense-Only,Q023,What was the impact of the pdu session establishment rejection on user equipment and network services?,impact_analysis,medium,S04,0.8287,0.2497,0.7219,0.669,0.4767,1,2.54
Dense-Only,Q024,What does error code SMF_QOS_FLOW_ERR_104 indicate and what caused it?,error_code,easy,S04,0.6553,0.9187,0.9099,0.366,0.6062,1,2.93
Dense-Only,Q025,What is the root cause of the failure affecting UE5?,root_cause,medium,S05,0.4045,0.5822,0.4739,0.5364,0.4923,1,4.39
Dense-Only,Q026,What error occurred in the RLC module and what were its downstream effects?,failure_tracing,medium,S05,0.5489,0.4428,0.724,0.47,0.5905,1,3.62
Dense-Only,Q027,Trace the complete chain of events from ran_cell.log to enodeb_rrc.log that led to the rlc max retransmission causing drb failure.,multi_hop,hard,S05,0.1463,0.4058,0.5034,0.3351,0.348,1,3.97
Dense-Only,Q028,What events occurred during the rlc max retransmission causing drb failure incident and in what order?,temporal,medium,S05,0.3312,0.5932,0.7947,0.3267,0.6146,1,2.47
Dense-Only,Q029,What was the impact of the rlc max retransmission causing drb failure on user equipment and network services?,impact_analysis,medium,S05,0.6422,0.3734,0.9265,0.3897,0.4617,1,3.95
Dense-Only,Q030,What does error code MAC_HARQ_NACK_MAX_067 indicate and what caused it?,error_code,easy,S05,0.8608,0.4763,0.5893,0.4996,0.7288,1,4.23
Dense-Only,Q031,What is the root cause of the failure affecting UE3?,root_cause,medium,S06,0.7211,0.8384,0.5817,0.207,0.4843,1,4.49
Dense-Only,Q032,What error occurred in the GTP-U module and what were its downstream effects?,failure_tracing,medium,S06,0.4659,0.6652,0.5967,0.4889,0.5913,1,3.51
Dense-Only,Q033,Trace the complete chain of events from transport_sctp.log to cu_up_gtpu.log that led to the gtp-u path failure on backhaul.,multi_hop,hard,S06,0.3719,0.8622,0.5619,0.1007,0.3605,1,4.42
Dense-Only,Q034,What events occurred during the gtp-u path failure on backhaul incident and in what order?,temporal,medium,S06,0.6341,0.4597,0.7185,0.2464,0.6093,1,3.26
Dense-Only,Q035,What was the impact of the gtp-u path failure on backhaul on user equipment and network services?,impact_analysis,medium,S06,0.518,0.6562,0.6623,0.115,0.564,1,3.65
Dense-Only,Q036,What does error code GTPU_PATH_FAIL_037 indicate and what caused it?,error_code,easy,S06,0.8152,0.6531,0.6407,0.5402,0.6375,1,4.01
Dense-Only,Q037,What is the root cause of the failure affecting UE31?,root_cause,medium,S07,0.765,0.6867,0.4006,0.1821,0.5896,1,4.27
Dense-Only,Q038,What error occurred in the AMF module and what were its downstream effects?,failure_tracing,medium,S07,0.6893,0.5113,0.7745,0.5419,0.5515,1,3.81
Dense-Only,Q039,Trace the complete chain of events from core_nw_amf.log to core_nw_amf.log that led to the 5g-aka authentication failure.,multi_hop,hard,S07,0.5767,0.4899,0.4114,0.366,0.3828,1,3.66
Dense-Only,Q040,What events occurred during the 5g-aka authentication failure incident and in what order?,temporal,medium,S07,0.5132,0.4749,0.5145,0.031,0.5778,1,3.69
Dense-Only,Q041,What was the impact of the 5g-aka authentication failure on user equipment and network services?,impact_analysis,medium,S07,0.5137,0.698,0.6383,0.1405,0.4974,1,3.76
Dense-Only,Q042,What does error code AMF_AUTH_FAIL_094 indicate and what caused it?,error_code,easy,S07,0.8646,1.0,1.0,0.5913,0.6958,1,4.5
Dense-Only,Q043,What is the root cause of the failure affecting UE9?,root_cause,medium,S08,0.2428,0.5306,0.5151,0.4161,0.4916,1,2.5
Dense-Only,Q044,What error occurred in the MAC module and what were its downstream effects?,failure_tracing,medium,S08,0.5837,0.3681,0.9008,0.2606,0.5272,1,2.98
Dense-Only,Q045,Trace the complete chain of events from ran_cell.log to ran_cell.log that led to the dl scheduler starvation under load.,multi_hop,hard,S08,0.713,0.4455,0.2601,0.4014,0.6,1,3.33
Dense-Only,Q046,What events occurred during the dl scheduler starvation under load incident and in what order?,temporal,medium,S08,0.7265,0.3505,0.3952,0.2869,0.6914,1,2.66
Dense-Only,Q047,What was the impact of the dl scheduler starvation under load on user equipment and network services?,impact_analysis,medium,S08,0.0485,0.3176,0.5876,0.0771,0.6734,1,3.78
Dense-Only,Q048,What does error code MAC_BSR_TIMEOUT_064 indicate and what caused it?,error_code,easy,S08,0.5102,0.5884,0.6956,0.362,0.8097,1,4.25
Dense-Only,Q049,What is the root cause of the failure affecting UE2?,root_cause,medium,S09,0.4181,0.5802,0.6528,0.2064,0.5562,1,4.42
Dense-Only,Q050,What error occurred in the IPSec module and what were its downstream effects?,failure_tracing,medium,S09,0.5383,0.1655,0.8399,0.2137,0.7093,1,3.6
Dense-Only,Q051,Trace the complete chain of events from transport_sctp.log to cu_up_gtpu.log that led to the ipsec tunnel failure on midhaul.,multi_hop,hard,S09,0.3909,0.4785,0.5068,0.1383,0.4252,1,4.22
Dense-Only,Q052,What events occurred during the ipsec tunnel failure on midhaul incident and in what order?,temporal,medium,S09,0.4702,0.37,0.5431,0.4496,0.6599,1,4.29
Dense-Only,Q053,What was the impact of the ipsec tunnel failure on midhaul on user equipment and network services?,impact_analysis,medium,S09,0.7296,0.6153,0.4954,0.2375,0.607,1,4.53
Dense-Only,Q054,What does error code F1AP_MSG_DECODE_ERR_018 indicate and what caused it?,error_code,easy,S09,0.853,0.2898,0.5749,0.2773,0.7208,1,4.4
Dense-Only,Q055,What is the root cause of the failure affecting UE40?,root_cause,medium,S10,0.5464,0.6948,0.7531,0.4344,0.6489,1,3.12
Dense-Only,Q056,What error occurred in the AMF module and what were its downstream effects?,failure_tracing,medium,S10,0.6065,0.4639,0.7716,0.2721,0.505,1,4.45
Dense-Only,Q057,Trace the complete chain of events from core_nw_amf.log to cu_cp_f1ap.log that led to the amf overload causing registration delays.,multi_hop,hard,S10,0.4327,0.4797,0.3309,0.5598,0.3653,1,3.86
Dense-Only,Q058,What events occurred during the amf overload causing registration delays incident and in what order?,temporal,medium,S10,0.349,0.6207,0.7067,0.1856,0.5503,1,3.6
Dense-Only,Q059,What was the impact of the amf overload causing registration delays on user equipment and network services?,impact_analysis,medium,S10,0.7568,0.4755,0.4959,0.2764,0.582,1,3.75
Dense-Only,Q060,What does error code AMF_REG_REJECT_091 indicate and what caused it?,error_code,easy,S10,0.6557,0.5336,0.8028,0.4507,0.6991,1,2.62
Dense-Only,Q061,Which failures affected multiple UEs simultaneously and what was the common cause?,cross_scenario,hard,"S02,S06,S08,S10",0.1431,0.1043,0.3258,0.1815,0.4641,1,3.34
Dense-Only,Q062,Compare the transport-layer failures: how does SCTP association failure differ from GTP-U path failure in terms of impact?,cross_scenario,hard,"S02,S06",0.6343,0.3032,0.4401,0.1486,0.4372,1,2.7
Dense-Only,Q063,What are all the scenarios where packet loss or data loss occurred and what were the root causes?,cross_scenario,hard,"S01,S03,S06",0.4406,0.2087,0.5239,0.4743,0.4326,1,3.05
Dense-Only,Q064,"Did any UE recover successfully after a failure, and if so, how long did the service interruption last?",cross_scenario,medium,"S03,S06,S07,S09",0.5705,0.3952,0.6382,0.3217,0.6248,1,4.54
Dense-Only,Q065,"Was the UE7 failure related to the SCTP transport failure, or were they independent events?",contrastive,medium,"S01,S02",0.4994,0.3079,0.5549,0.382,0.6598,1,3.4
BM25-Only,Q001,What is the root cause of the failure affecting UE7?,root_cause,medium,S01,0.7764,0.7219,0.9304,0.3231,0.6353,1,3.75
BM25-Only,Q002,What error occurred in the RRC module and what were its downstream effects?,failure_tracing,medium,S01,0.505,0.4187,0.3534,0.2404,0.5139,1,4.5
BM25-Only,Q003,Trace the complete chain of events from enodeb_rrc.log to core_nw_amf.log that led to the rrc reconfiguration failure cascade.,multi_hop,hard,S01,0.4712,0.0526,0.5458,0.3336,0.5215,1,2.79
BM25-Only,Q004,What events occurred during the rrc reconfiguration failure cascade incident and in what order?,temporal,medium,S01,0.3771,0.8167,0.8139,0.2385,0.4471,1,4.49
BM25-Only,Q005,What was the impact of the rrc reconfiguration failure cascade on user equipment and network services?,impact_analysis,medium,S01,0.8503,0.566,0.7068,0.0,0.5039,1,3.02
BM25-Only,Q006,What does error code RRC_RECONFIG_FAIL_004 indicate and what caused it?,error_code,easy,S01,0.795,0.6381,0.7452,0.4815,0.5773,1,4.45
BM25-Only,Q007,What is the root cause of the failure affecting UE1?,root_cause,medium,S02,0.5979,0.2749,0.7383,0.481,0.6749,1,3.2
BM25-Only,Q008,What error occurred in the SCTP module and what were its downstream effects?,failure_tracing,medium,S02,0.6948,0.3928,0.9047,0.3499,0.6496,1,3.61
BM25-Only,Q009,Trace the complete chain of events from transport_sctp.log to ran_cell.log that led to the sctp transport link failure.,multi_hop,hard,S02,0.4577,0.564,0.5163,0.0985,0.4348,1,2.51
BM25-Only,Q010,What events occurred during the sctp transport link failure incident and in what order?,temporal,medium,S02,0.6956,0.7361,0.4923,0.4338,0.6411,1,3.27
BM25-Only,Q011,What was the impact of the sctp transport link failure on user equipment and network services?,impact_analysis,medium,S02,0.3461,0.6722,0.6444,0.3344,0.415,1,4.1
BM25-Only,Q012,What does error code SCTP_HEARTBEAT_TIMEOUT_084 indicate and what caused it?,error_code,easy,S02,1.0,0.3898,0.5572,0.3982,0.6789,1,3.48
BM25-Only,Q013,What is the root cause of the failure affecting UE11?,root_cause,medium,S03,0.6157,0.7083,0.4418,0.3085,0.5617,1,2.72
BM25-Only,Q014,What error occurred in the HANDOVER module and what were its downstream effects?,failure_tracing,medium,S03,0.7004,0.3595,0.5949,0.1776,0.5626,1,3.85
BM25-Only,Q015,Trace the complete chain of events from ran_cell.log to enodeb_rrc.log that led to the inter-gnb handover failure.,multi_hop,hard,S03,0.6015,0.3077,0.42,0.1402,0.4145,1,2.64
BM25-Only,Q016,What events occurred during the inter-gnb handover failure incident and in what order?,temporal,medium,S03,0.5737,0.3179,0.554,0.1471,0.7045,1,2.53
BM25-Only,Q017,What was the impact of the inter-gnb handover failure on user equipment and network services?,impact_analysis,medium,S03,0.6367,0.6075,0.8457,0.4534,0.5236,1,4.02
BM25-Only,Q018,What does error code SCHED_RESOURCE_EXHAUST_137 indicate and what caused it?,error_code,easy,S03,0.7082,0.5298,0.7714,0.0446,0.546,1,3.42
BM25-Only,Q019,What is the root cause of the failure affecting UE22?,root_cause,medium,S04,0.8424,0.6611,0.5098,0.3489,0.6348,1,3.57
BM25-Only,Q020,What error occurred in the PCF module and what were its downstream effects?,failure_tracing,medium,S04,0.6203,0.3567,0.431,0.3569,0.5141,1,2.49
BM25-Only,Q021,Trace the complete chain of events from core_nw_amf.log to cu_cp_f1ap.log that led to the pdu session establishment rejection.,multi_hop,hard,S04,0.2164,0.2007,0.3932,0.1156,0.429,1,4.32
BM25-Only,Q022,What events occurred during the pdu session establishment rejection incident and in what order?,temporal,medium,S04,0.8643,0.6514,0.6358,0.564,0.5724,1,3.68
BM25-Only,Q023,What was the impact of the pdu session establishment rejection on user equipment and network services?,impact_analysis,medium,S04,0.4915,0.4414,0.9023,0.2596,0.5202,1,3.21
BM25-Only,Q024,What does error code SMF_QOS_FLOW_ERR_104 indicate and what caused it?,error_code,easy,S04,0.9442,0.9622,0.6029,0.4847,0.6065,1,2.84
BM25-Only,Q025,What is the root cause of the failure affecting UE5?,root_cause,medium,S05,0.5421,0.3688,0.5762,0.0,0.6149,1,4.51
BM25-Only,Q026,What error occurred in the RLC module and what were its downstream effects?,failure_tracing,medium,S05,0.6023,0.3651,0.5855,0.4365,0.6021,1,4.4
BM25-Only,Q027,Trace the complete chain of events from ran_cell.log to enodeb_rrc.log that led to the rlc max retransmission causing drb failure.,multi_hop,hard,S05,0.2884,0.7409,0.7343,0.3721,0.4003,1,2.84
BM25-Only,Q028,What events occurred during the rlc max retransmission causing drb failure incident and in what order?,temporal,medium,S05,0.4674,0.184,0.3929,0.3218,0.5852,1,3.06
BM25-Only,Q029,What was the impact of the rlc max retransmission causing drb failure on user equipment and network services?,impact_analysis,medium,S05,0.4845,0.3198,0.7052,0.7253,0.4542,1,2.56
BM25-Only,Q030,What does error code MAC_HARQ_NACK_MAX_067 indicate and what caused it?,error_code,easy,S05,0.6548,0.563,0.9636,0.2939,0.7105,1,4.05
BM25-Only,Q031,What is the root cause of the failure affecting UE3?,root_cause,medium,S06,0.438,0.3871,1.0,0.0521,0.4947,1,4.4
BM25-Only,Q032,What error occurred in the GTP-U module and what were its downstream effects?,failure_tracing,medium,S06,0.7011,0.4179,0.685,0.3105,0.6487,1,2.74
BM25-Only,Q033,Trace the complete chain of events from transport_sctp.log to cu_up_gtpu.log that led to the gtp-u path failure on backhaul.,multi_hop,hard,S06,0.488,0.282,0.5796,0.2041,0.4313,1,4.16
BM25-Only,Q034,What events occurred during the gtp-u path failure on backhaul incident and in what order?,temporal,medium,S06,0.6379,0.8591,0.7677,0.2804,0.6511,1,3.37
BM25-Only,Q035,What was the impact of the gtp-u path failure on backhaul on user equipment and network services?,impact_analysis,medium,S06,0.5649,0.4003,0.3305,0.4771,0.508,1,3.51
BM25-Only,Q036,What does error code GTPU_PATH_FAIL_037 indicate and what caused it?,error_code,easy,S06,0.8471,0.5918,0.9371,0.0691,0.6685,1,2.7
BM25-Only,Q037,What is the root cause of the failure affecting UE31?,root_cause,medium,S07,0.7459,0.5417,0.7433,0.2084,0.539,1,4.12
BM25-Only,Q038,What error occurred in the AMF module and what were its downstream effects?,failure_tracing,medium,S07,0.7435,0.9181,0.6993,0.3733,0.5348,1,2.97
BM25-Only,Q039,Trace the complete chain of events from core_nw_amf.log to core_nw_amf.log that led to the 5g-aka authentication failure.,multi_hop,hard,S07,0.3091,0.6481,0.5517,0.1856,0.5116,1,4.17
BM25-Only,Q040,What events occurred during the 5g-aka authentication failure incident and in what order?,temporal,medium,S07,0.5473,0.3277,0.5704,0.3766,0.62,1,3.96
BM25-Only,Q041,What was the impact of the 5g-aka authentication failure on user equipment and network services?,impact_analysis,medium,S07,0.4816,0.7591,0.8163,0.0759,0.5867,1,3.18
BM25-Only,Q042,What does error code AMF_AUTH_FAIL_094 indicate and what caused it?,error_code,easy,S07,0.506,0.8903,0.9109,0.3587,0.6716,1,3.51
BM25-Only,Q043,What is the root cause of the failure affecting UE9?,root_cause,medium,S08,0.4387,0.4777,0.665,0.5744,0.6083,1,4.39
BM25-Only,Q044,What error occurred in the MAC module and what were its downstream effects?,failure_tracing,medium,S08,0.5129,0.605,0.9543,0.5161,0.6785,1,4.41
BM25-Only,Q045,Trace the complete chain of events from ran_cell.log to ran_cell.log that led to the dl scheduler starvation under load.,multi_hop,hard,S08,0.364,0.3697,0.6086,0.6142,0.4903,1,3.29
BM25-Only,Q046,What events occurred during the dl scheduler starvation under load incident and in what order?,temporal,medium,S08,0.5654,0.4237,0.4852,0.0793,0.6246,1,3.18
BM25-Only,Q047,What was the impact of the dl scheduler starvation under load on user equipment and network services?,impact_analysis,medium,S08,0.6429,0.739,0.5422,0.1078,0.5487,1,3.4
BM25-Only,Q048,What does error code MAC_BSR_TIMEOUT_064 indicate and what caused it?,error_code,easy,S08,0.7543,0.5825,0.4082,0.3787,0.6359,1,3.67
BM25-Only,Q049,What is the root cause of the failure affecting UE2?,root_cause,medium,S09,0.7338,0.336,0.7355,0.2186,0.5555,1,4.54
BM25-Only,Q050,What error occurred in the IPSec module and what were its downstream effects?,failure_tracing,medium,S09,1.0,0.5333,0.6741,0.3538,0.5809,1,2.88
BM25-Only,Q051,Trace the complete chain of events from transport_sctp.log to cu_up_gtpu.log that led to the ipsec tunnel failure on midhaul.,multi_hop,hard,S09,0.4234,0.8326,0.3253,0.4499,0.2674,1,3.38
BM25-Only,Q052,What events occurred during the ipsec tunnel failure on midhaul incident and in what order?,temporal,medium,S09,0.7929,0.1372,0.5856,0.2861,0.4685,1,3.8
BM25-Only,Q053,What was the impact of the ipsec tunnel failure on midhaul on user equipment and network services?,impact_analysis,medium,S09,0.505,0.455,0.6546,0.3891,0.5129,1,3.83
BM25-Only,Q054,What does error code F1AP_MSG_DECODE_ERR_018 indicate and what caused it?,error_code,easy,S09,0.9111,0.4335,0.734,0.4712,0.5665,1,2.66
BM25-Only,Q055,What is the root cause of the failure affecting UE40?,root_cause,medium,S10,0.7365,0.6546,0.5169,0.3707,0.5847,1,3.28
BM25-Only,Q056,What error occurred in the AMF module and what were its downstream effects?,failure_tracing,medium,S10,0.4659,0.6302,0.761,0.2691,0.5898,1,3.33
BM25-Only,Q057,Trace the complete chain of events from core_nw_amf.log to cu_cp_f1ap.log that led to the amf overload causing registration delays.,multi_hop,hard,S10,0.2441,0.1694,0.369,0.4249,0.3309,1,3.01
BM25-Only,Q058,What events occurred during the amf overload causing registration delays incident and in what order?,temporal,medium,S10,0.3836,0.8033,0.3247,0.5574,0.5818,1,4.05
BM25-Only,Q059,What was the impact of the amf overload causing registration delays on user equipment and network services?,impact_analysis,medium,S10,0.6153,0.6871,0.6604,0.2772,0.6612,1,2.5
BM25-Only,Q060,What does error code AMF_REG_REJECT_091 indicate and what caused it?,error_code,easy,S10,0.844,0.3324,0.6105,0.5032,0.664,1,4.52
BM25-Only,Q061,Which failures affected multiple UEs simultaneously and what was the common cause?,cross_scenario,hard,"S02,S06,S08,S10",0.387,0.1462,0.4855,0.0033,0.4922,1,3.61
BM25-Only,Q062,Compare the transport-layer failures: how does SCTP association failure differ from GTP-U path failure in terms of impact?,cross_scenario,hard,"S02,S06",0.5835,0.4526,0.5088,0.4031,0.5702,1,2.82
BM25-Only,Q063,What are all the scenarios where packet loss or data loss occurred and what were the root causes?,cross_scenario,hard,"S01,S03,S06",0.5811,0.3429,0.5914,0.3148,0.2877,1,2.55
BM25-Only,Q064,"Did any UE recover successfully after a failure, and if so, how long did the service interruption last?",cross_scenario,medium,"S03,S06,S07,S09",0.6249,0.3467,0.63,0.2163,0.5242,1,3.06
