config,query_id,query,query_type,difficulty,scenario_id,precision_at_k,recall_at_k,mrr,root_cause_accuracy,confidence,iterations,latency_s
Hybrid+Iter,Q001,What is the root cause of the failure affecting UE7?,root_cause,medium,S01,0.563,0.7136,0.9179,0.6649,0.7623,2,6.62
Hybrid+Iter,Q002,What error occurred in the RRC module and what were its downstream effects?,failure_tracing,medium,S01,0.8595,0.8091,0.6388,0.234,0.6178,1,2.52
Hybrid+Iter,Q003,Trace the complete chain of events from enodeb_rrc.log to core_nw_amf.log that led to the rrc reconfiguration failure cascade.,multi_hop,hard,S01,0.5794,0.6622,0.539,0.5114,0.4145,2,5.38
Hybrid+Iter,Q004,What events occurred during the rrc reconfiguration failure cascade incident and in what order?,temporal,medium,S01,0.5908,0.6601,0.664,0.5878,0.6622,3,10.58
Hybrid+Iter,Q005,What was the impact of the rrc reconfiguration failure cascade on user equipment and network services?,impact_analysis,medium,S01,0.5012,0.959,0.8799,0.4307,0.6021,3,7.81
Hybrid+Iter,Q006,What does error code RRC_RECONFIG_FAIL_004 indicate and what caused it?,error_code,easy,S01,0.679,1.0,1.0,0.3249,0.6323,2,4.01
Hybrid+Iter,Q007,What is the root cause of the failure affecting UE1?,root_cause,medium,S02,0.673,0.4323,0.7472,0.327,0.5854,3,10.12
Hybrid+Iter,Q008,What error occurred in the SCTP module and what were its downstream effects?,failure_tracing,medium,S02,0.4222,0.771,0.6414,0.1423,0.4169,1,2.1
Hybrid+Iter,Q009,Trace the complete chain of events from transport_sctp.log to ran_cell.log that led to the sctp transport link failure.,multi_hop,hard,S02,0.4665,0.7798,0.7592,0.1908,0.4522,2,4.37
Hybrid+Iter,Q010,What events occurred during the sctp transport link failure incident and in what order?,temporal,medium,S02,0.6941,0.7823,0.8528,0.3363,0.6037,2,4.75
Hybrid+Iter,Q011,What was the impact of the sctp transport link failure on user equipment and network services?,impact_analysis,medium,S02,0.6257,0.7449,0.8369,0.2177,0.7225,1,2.78
Hybrid+Iter,Q012,What does error code SCTP_HEARTBEAT_TIMEOUT_084 indicate and what caused it?,error_code,easy,S02,0.7864,0.481,0.9871,0.5308,0.691,1,3.08
Hybrid+Iter,Q013,What is the root cause of the failure affecting UE11?,root_cause,medium,S03,0.6615,0.7613,0.4832,0.2647,0.6736,1,2.91
Hybrid+Iter,Q014,What error occurred in the HANDOVER module and what were its downstream effects?,failure_tracing,medium,S03,0.4753,0.7642,0.711,0.0749,0.6995,1,2.21
Hybrid+Iter,Q015,Trace the complete chain of events from ran_cell.log to enodeb_rrc.log that led to the inter-gnb handover failure.,multi_hop,hard,S03,0.3562,0.4079,0.5547,0.4405,0.4233,3,9.52
Hybrid+Iter,Q016,What events occurred during the inter-gnb handover failure incident and in what order?,temporal,medium,S03,0.6306,0.6974,0.6296,0.2141,0.624,2,5.55
Hybrid+Iter,Q017,What was the impact of the inter-gnb handover failure on user equipment and network services?,impact_analysis,medium,S03,0.7291,0.8222,0.3782,0.1927,0.6613,1,2.82
Hybrid+Iter,Q018,What does error code SCHED_RESOURCE_EXHAUST_137 indicate and what caused it?,error_code,easy,S03,1.0,0.8037,1.0,0.3253,0.6548,1,2.51
Hybrid+Iter,Q019,What is the root cause of the failure affecting UE22?,root_cause,medium,S04,0.6701,0.921,0.7472,0.3099,0.5976,3,9.77
Hybrid+Iter,Q020,What error occurred in the PCF module and what were its downstream effects?,failure_tracing,medium,S04,0.4271,0.8242,0.7051,0.302,0.8415,1,3.06
Hybrid+Iter,Q021,Trace the complete chain of events from core_nw_amf.log to cu_cp_f1ap.log that led to the pdu session establishment rejection.,multi_hop,hard,S04,0.4043,0.69,0.5425,0.0279,0.5587,2,6.05
Hybrid+Iter,Q022,What events occurred during the pdu session establishment rejection incident and in what order?,temporal,medium,S04,0.5168,0.6076,0.8603,0.3492,0.6777,1,3.13
Hybrid+Iter,Q023,What was the impact of the pdu session establishment rejection on user equipment and network services?,impact_analysis,medium,S04,0.5606,0.8403,0.6621,0.2768,0.5511,2,5.99
Hybrid+Iter,Q024,What does error code SMF_QOS_FLOW_ERR_104 indicate and what caused it?,error_code,easy,S04,0.8947,0.8335,1.0,0.408,0.7424,3,9.25
Hybrid+Iter,Q025,What is the root cause of the failure affecting UE5?,root_cause,medium,S05,0.4853,0.7487,0.6758,0.4944,0.7011,3,10.37
Hybrid+Iter,Q026,What error occurred in the RLC module and what were its downstream effects?,failure_tracing,medium,S05,1.0,0.725,0.6666,0.4314,0.5973,3,8.61
Hybrid+Iter,Q027,Trace the complete chain of events from ran_cell.log to enodeb_rrc.log that led to the rlc max retransmission causing drb failure.,multi_hop,hard,S05,0.3138,0.6887,0.711,0.2332,0.3459,2,6.7
Hybrid+Iter,Q028,What events occurred during the rlc max retransmission causing drb failure incident and in what order?,temporal,medium,S05,0.5262,0.5281,0.6103,0.4744,0.6563,1,2.36
Hybrid+Iter,Q029,What was the impact of the rlc max retransmission causing drb failure on user equipment and network services?,impact_analysis,medium,S05,0.5999,0.5592,0.9352,0.293,0.7032,2,6.75
Hybrid+Iter,Q030,What does error code MAC_HARQ_NACK_MAX_067 indicate and what caused it?,error_code,easy,S05,1.0,0.8882,0.8599,0.2838,0.7334,2,5.01
Hybrid+Iter,Q031,What is the root cause of the failure affecting UE3?,root_cause,medium,S06,0.5785,0.716,0.7417,0.3015,0.6591,2,6.08
Hybrid+Iter,Q032,What error occurred in the GTP-U module and what were its downstream effects?,failure_tracing,medium,S06,0.5969,0.7152,0.9875,0.1836,0.5706,1,2.47
Hybrid+Iter,Q033,Trace the complete chain of events from transport_sctp.log to cu_up_gtpu.log that led to the gtp-u path failure on backhaul.,multi_hop,hard,S06,0.551,0.5505,0.5757,0.35,0.5388,2,6.97
Hybrid+Iter,Q034,What events occurred during the gtp-u path failure on backhaul incident and in what order?,temporal,medium,S06,0.7941,0.7689,0.947,0.3391,0.5498,2,6.82
Hybrid+Iter,Q035,What was the impact of the gtp-u path failure on backhaul on user equipment and network services?,impact_analysis,medium,S06,0.3221,0.814,0.6341,0.3081,0.6412,2,6.8
Hybrid+Iter,Q036,What does error code GTPU_PATH_FAIL_037 indicate and what caused it?,error_code,easy,S06,0.8584,0.9039,0.827,0.5369,0.7538,1,3.58
Hybrid+Iter,Q037,What is the root cause of the failure affecting UE31?,root_cause,medium,S07,0.5051,0.8434,0.627,0.4674,0.6437,1,2.37
Hybrid+Iter,Q038,What error occurred in the AMF module and what were its downstream effects?,failure_tracing,medium,S07,0.9578,0.6942,0.6736,0.5023,0.5049,2,4.93
Hybrid+Iter,Q039,Trace the complete chain of events from core_nw_amf.log to core_nw_amf.log that led to the 5g-aka authentication failure.,multi_hop,hard,S07,0.619,0.7709,0.512,0.2495,0.4993,1,3.36
Hybrid+Iter,Q040,What events occurred during the 5g-aka authentication failure incident and in what order?,temporal,medium,S07,0.8023,0.5385,0.7144,0.5181,0.6531,3,8.76
Hybrid+Iter,Q041,What was the impact of the 5g-aka authentication failure on user equipment and network services?,impact_analysis,medium,S07,0.2393,0.7896,0.6174,0.0213,0.6538,3,8.11
Hybrid+Iter,Q042,What does error code AMF_AUTH_FAIL_094 indicate and what caused it?,error_code,easy,S07,1.0,1.0,1.0,0.6933,0.7626,2,5.64
Hybrid+Iter,Q043,What is the root cause of the failure affecting UE9?,root_cause,medium,S08,0.6126,0.5656,1.0,0.3176,0.6266,3,8.43
Hybrid+Iter,Q044,What error occurred in the MAC module and what were its downstream effects?,failure_tracing,medium,S08,0.757,0.6073,0.7432,0.2379,0.5256,2,4.07
Hybrid+Iter,Q045,Trace the complete chain of events from ran_cell.log to ran_cell.log that led to the dl scheduler starvation under load.,multi_hop,hard,S08,0.4038,0.4249,0.3297,0.246,0.3891,2,5.66
Hybrid+Iter,Q046,What events occurred during the dl scheduler starvation under load incident and in what order?,temporal,medium,S08,0.7396,0.6275,0.5757,0.4075,0.7118,2,4.91
Hybrid+Iter,Q047,What was the impact of the dl scheduler starvation under load on user equipment and network services?,impact_analysis,medium,S08,0.636,0.7887,0.7388,0.2267,0.5957,2,6.86
Hybrid+Iter,Q048,What does error code MAC_BSR_TIMEOUT_064 indicate and what caused it?,error_code,easy,S08,0.7045,1.0,0.8548,0.2916,0.6047,2,5.3
Hybrid+Iter,Q049,What is the root cause of the failure affecting UE2?,root_cause,medium,S09,0.6927,0.7603,0.4806,0.4964,0.5842,2,4.12
Hybrid+Iter,Q050,What error occurred in the IPSec module and what were its downstream effects?,failure_tracing,medium,S09,0.6939,0.9292,0.8416,0.3092,0.5556,2,5.16
Hybrid+Iter,Q051,Trace the complete chain of events from transport_sctp.log to cu_up_gtpu.log that led to the ipsec tunnel failure on midhaul.,multi_hop,hard,S09,0.4379,0.3824,0.5082,0.2745,0.4787,3,9.25
Hybrid+Iter,Q052,What events occurred during the ipsec tunnel failure on midhaul incident and in what order?,temporal,medium,S09,0.5196,0.515,0.8785,0.3226,0.6193,2,6.99
Hybrid+Iter,Q053,What was the impact of the ipsec tunnel failure on midhaul on user equipment and network services?,impact_analysis,medium,S09,0.8097,0.7333,0.6233,0.4199,0.5379,1,2.67
Hybrid+Iter,Q054,What does error code F1AP_MSG_DECODE_ERR_018 indicate and what caused it?,error_code,easy,S09,0.8456,0.8115,0.5998,0.3286,0.7172,1,2.9
Hybrid+Iter,Q055,What is the root cause of the failure affecting UE40?,root_cause,medium,S10,0.8485,0.5623,0.8377,0.4336,0.5728,2,4.85
Hybrid+Iter,Q056,What error occurred in the AMF module and what were its downstream effects?,failure_tracing,medium,S10,0.9479,0.8411,0.6221,0.5969,0.6005,3,10.2
Hybrid+Iter,Q057,Trace the complete chain of events from core_nw_amf.log to cu_cp_f1ap.log that led to the amf overload causing registration delays.,multi_hop,hard,S10,0.4498,0.6414,0.6377,0.0,0.5857,3,9.35
Hybrid+Iter,Q058,What events occurred during the amf overload causing registration delays incident and in what order?,temporal,medium,S10,0.3617,0.5149,0.6235,0.1478,0.603,3,7.62
Hybrid+Iter,Q059,What was the impact of the amf overload causing registration delays on user equipment and network services?,impact_analysis,medium,S10,0.8654,0.893,0.6303,0.3325,0.5002,2,5.96
Hybrid+Iter,Q060,What does error code AMF_REG_REJECT_091 indicate and what caused it?,error_code,easy,S10,0.7029,0.6523,0.7804,0.4013,0.7303,2,4.39
Hybrid+Iter,Q061,Which failures affected multiple UEs simultaneously and what was the common cause?,cross_scenario,hard,"S02,S06,S08,S10",0.3669,0.5075,0.5821,0.2575,0.4639,1,2.61
Hybrid+Iter,Q062,Compare the transport-layer failures: how does SCTP association failure differ from GTP-U path failure in terms of impact?,cross_scenario,hard,"S02,S06",0.4237,0.4723,0.7294,0.3513,0.4737,1,3.57
Hybrid+Iter,Q063,What are all the scenarios where packet loss or data loss occurred and what were the root causes?,cross_scenario,hard,"S01,S03,S06",0.5495,0.4615,0.6698,0.3306,0.4869,2,5.06
Hybrid+Iter,Q064,"Did any UE recover successfully after a failure, and if so, how long did the service interruption last?",cross_scenario,medium,"S03,S06,S07,S09",0.6408,0.4751,0.666,0.6271,0.7742,3,10.08
Hybrid+Iter,Q065,"Was the UE7 failure related to the SCTP transport failure, or were they independent events?",contrastive,medium,"S01,S02",0.27,0.5589,0.5217,0.2186,0.6062,2,7.17
Full-System,Q001,What is the root cause of the failure affecting UE7?,root_cause,medium,S01,0.7413,0.5016,0.9105,0.1933,0.6724,2,10.33
Full-System,Q002,What error occurred in the RRC module and what were its downstream effects?,failure_tracing,medium,S01,0.5144,0.725,0.9616,0.6419,0.5842,2,6.95
Full-System,Q003,Trace the complete chain of events from enodeb_rrc.log to core_nw_amf.log that led to the rrc reconfiguration failure cascade.,multi_hop,hard,S01,0.648,0.909,0.4728,0.3175,0.5545,2,11.73
Full-System,Q004,What events occurred during the rrc reconfiguration failure cascade incident and in what order?,temporal,medium,S01,0.805,0.6867,0.8393,0.3107,0.6953,3,11.37
Full-System,Q005,What was the impact of the rrc reconfiguration failure cascade on user equipment and network services?,impact_analysis,medium,S01,0.7636,0.8035,0.8359,0.5337,0.6549,2,8.88
Full-System,Q006,What does error code RRC_RECONFIG_FAIL_004 indicate and what caused it?,error_code,easy,S01,0.889,0.8213,0.9503,0.6364,0.6286,2,11.71
Full-System,Q007,What is the root cause of the failure affecting UE1?,root_cause,medium,S02,1.0,0.7441,0.862,0.4594,0.6967,2,12.23
Full-System,Q008,What error occurred in the SCTP module and what were its downstream effects?,failure_tracing,medium,S02,0.7943,0.7419,0.8255,0.5373,0.6936,2,12.06
Full-System,Q009,Trace the complete chain of events from transport_sctp.log to ran_cell.log that led to the sctp transport link failure.,multi_hop,hard,S02,0.2356,0.5734,0.5898,0.4185,0.5833,2,7.49
Full-System,Q010,What events occurred during the sctp transport link failure incident and in what order?,temporal,medium,S02,0.6514,0.5622,0.7452,0.4841,0.7152,2,6.8
Full-System,Q011,What was the impact of the sctp transport link failure on user equipment and network services?,impact_analysis,medium,S02,0.8696,0.8474,0.8932,0.2699,0.6839,3,16.72
Full-System,Q012,What does error code SCTP_HEARTBEAT_TIMEOUT_084 indicate and what caused it?,error_code,easy,S02,1.0,0.9929,1.0,0.5984,0.7551,1,4.53
Full-System,Q013,What is the root cause of the failure affecting UE11?,root_cause,medium,S03,0.6922,0.6659,0.8168,0.2325,0.6395,3,18.27
Full-System,Q014,What error occurred in the HANDOVER module and what were its downstream effects?,failure_tracing,medium,S03,0.5908,0.7879,0.8461,0.2206,0.6976,1,3.57
Full-System,Q015,Trace the complete chain of events from ran_cell.log to enodeb_rrc.log that led to the inter-gnb handover failure.,multi_hop,hard,S03,0.7009,0.3732,0.5505,0.1642,0.47,3,18.11
Full-System,Q016,What events occurred during the inter-gnb handover failure incident and in what order?,temporal,medium,S03,0.8675,0.7116,0.7832,0.06,0.6961,3,15.29
Full-System,Q017,What was the impact of the inter-gnb handover failure on user equipment and network services?,impact_analysis,medium,S03,0.6593,0.9274,0.7016,0.0,0.669,2,10.32
Full-System,Q018,What does error code SCHED_RESOURCE_EXHAUST_137 indicate and what caused it?,error_code,easy,S03,1.0,0.8417,1.0,0.2837,0.7853,2,9.72
Full-System,Q019,What is the root cause of the failure affecting UE22?,root_cause,medium,S04,0.8587,0.8004,0.7786,0.3639,0.5519,2,7.49
Full-System,Q020,What error occurred in the PCF module and what were its downstream effects?,failure_tracing,medium,S04,0.7551,0.7802,0.7596,0.5322,0.658,1,4.16
Full-System,Q021,Trace the complete chain of events from core_nw_amf.log to cu_cp_f1ap.log that led to the pdu session establishment rejection.,multi_hop,hard,S04,0.5873,0.5345,0.6469,0.4006,0.4744,2,7.31
Full-System,Q022,What events occurred during the pdu session establishment rejection incident and in what order?,temporal,medium,S04,0.6065,0.6328,0.761,0.4823,0.6738,2,11.96
Full-System,Q023,What was the impact of the pdu session establishment rejection on user equipment and network services?,impact_analysis,medium,S04,0.8312,0.8052,0.8282,0.4065,0.623,2,8.95
Full-System,Q024,What does error code SMF_QOS_FLOW_ERR_104 indicate and what caused it?,error_code,easy,S04,1.0,1.0,1.0,0.624,0.762,2,7.33
Full-System,Q025,What is the root cause of the failure affecting UE5?,root_cause,medium,S05,0.8217,0.8286,0.9584,0.3434,0.631,3,14.4
Full-System,Q026,What error occurred in the RLC module and what were its downstream effects?,failure_tracing,medium,S05,0.6447,0.4717,0.7882,0.1627,0.6275,3,13.68
Full-System,Q027,Trace the complete chain of events from ran_cell.log to enodeb_rrc.log that led to the rlc max retransmission causing drb failure.,multi_hop,hard,S05,0.5707,0.617,0.6621,0.368,0.4581,2,11.79
Full-System,Q028,What events occurred during the rlc max retransmission causing drb failure incident and in what order?,temporal,medium,S05,0.8485,0.6009,0.6479,0.493,0.6806,3,12.81
Full-System,Q029,What was the impact of the rlc max retransmission causing drb failure on user equipment and network services?,impact_analysis,medium,S05,0.6998,0.6061,1.0,0.2164,0.6963,3,12.56
Full-System,Q030,What does error code MAC_HARQ_NACK_MAX_067 indicate and what caused it?,error_code,easy,S05,0.9324,0.8831,1.0,0.2739,0.8011,1,4.45
Full-System,Q031,What is the root cause of the failure affecting UE3?,root_cause,medium,S06,0.7364,0.7222,0.7276,0.0,0.6465,2,10.15
Full-System,Q032,What error occurred in the GTP-U module and what were its downstream effects?,failure_tracing,medium,S06,0.8157,0.7279,0.8484,0.4487,0.5872,3,16.76
Full-System,Q033,Trace the complete chain of events from transport_sctp.log to cu_up_gtpu.log that led to the gtp-u path failure on backhaul.,multi_hop,hard,S06,0.7221,0.631,0.6327,0.388,0.5619,1,4.12
Full-System,Q034,What events occurred during the gtp-u path failure on backhaul incident and in what order?,temporal,medium,S06,0.7802,0.9312,0.6809,0.1356,0.6679,3,10.28
Full-System,Q035,What was the impact of the gtp-u path failure on backhaul on user equipment and network services?,impact_analysis,medium,S06,0.8141,0.7778,0.8646,0.3299,0.7474,2,8.46
Full-System,Q036,What does error code GTPU_PATH_FAIL_037 indicate and what caused it?,error_code,easy,S06,0.9853,0.6966,0.9943,0.6883,0.758,3,10.73
Full-System,Q037,What is the root cause of the failure affecting UE31?,root_cause,medium,S07,0.8257,0.5922,0.7673,0.3074,0.6389,2,11.22
Full-System,Q038,What error occurred in the AMF module and what were its downstream effects?,failure_tracing,medium,S07,0.6846,0.7921,0.8983,0.5295,0.7528,2,8.71
Full-System,Q039,Trace the complete chain of events from core_nw_amf.log to core_nw_amf.log that led to the 5g-aka authentication failure.,multi_hop,hard,S07,0.4666,0.5463,0.6796,0.4159,0.5218,3,10.62
Full-System,Q040,What events occurred during the 5g-aka authentication failure incident and in what order?,temporal,medium,S07,0.6678,0.9993,0.6422,0.381,0.7794,1,4.15
Full-System,Q041,What was the impact of the 5g-aka authentication failure on user equipment and network services?,impact_analysis,medium,S07,0.8088,0.7333,0.9831,0.0232,0.75,1,3.84
Full-System,Q042,What does error code AMF_AUTH_FAIL_094 indicate and what caused it?,error_code,easy,S07,0.8268,0.8701,0.9677,0.5104,0.6608,2,10.14
Full-System,Q043,What is the root cause of the failure affecting UE9?,root_cause,medium,S08,0.8535,0.7749,0.7625,0.433,0.6591,3,11.48
Full-System,Q044,What error occurred in the MAC module and what were its downstream effects?,failure_tracing,medium,S08,1.0,0.7369,0.9216,0.18,0.6006,2,11.16
Full-System,Q045,Trace the complete chain of events from ran_cell.log to ran_cell.log that led to the dl scheduler starvation under load.,multi_hop,hard,S08,0.6451,0.5364,0.6305,0.0856,0.5627,2,11.6
Full-System,Q046,What events occurred during the dl scheduler starvation under load incident and in what order?,temporal,medium,S08,0.7116,0.7695,0.7651,0.3459,0.784,1,4.19
Full-System,Q047,What was the impact of the dl scheduler starvation under load on user equipment and network services?,impact_analysis,medium,S08,0.7784,0.8498,0.82,0.2614,0.7373,2,11.06
Full-System,Q048,What does error code MAC_BSR_TIMEOUT_064 indicate and what caused it?,error_code,easy,S08,0.7737,1.0,0.9409,0.5373,0.6385,2,8.1
Full-System,Q049,What is the root cause of the failure affecting UE2?,root_cause,medium,S09,0.9051,0.7528,0.7318,0.3089,0.6992,3,15.11
Full-System,Q050,What error occurred in the IPSec module and what were its downstream effects?,failure_tracing,medium,S09,1.0,0.5639,1.0,0.3952,0.6041,3,18.26
Full-System,Q051,Trace the complete chain of events from transport_sctp.log to cu_up_gtpu.log that led to the ipsec tunnel failure on midhaul.,multi_hop,hard,S09,0.4288,0.552,0.7274,0.2412,0.6171,2,7.9
Full-System,Q052,What events occurred during the ipsec tunnel failure on midhaul incident and in what order?,temporal,medium,S09,0.6177,0.7818,0.9041,0.2838,0.5017,3,17.3
Full-System,Q053,What was the impact of the ipsec tunnel failure on midhaul on user equipment and network services?,impact_analysis,medium,S09,0.8319,0.9117,0.7265,0.4705,0.7296,1,5.88
Full-System,Q054,What does error code F1AP_MSG_DECODE_ERR_018 indicate and what caused it?,error_code,easy,S09,0.7843,0.9439,0.9599,0.4038,0.7776,1,4.56
Full-System,Q055,What is the root cause of the failure affecting UE40?,root_cause,medium,S10,0.7395,0.6659,0.8356,0.1909,0.5929,2,6.73
Full-System,Q056,What error occurred in the AMF module and what were its downstream effects?,failure_tracing,medium,S10,0.8995,0.6163,0.916,0.4424,0.5545,2,10.82
Full-System,Q057,Trace the complete chain of events from core_nw_amf.log to cu_cp_f1ap.log that led to the amf overload causing registration delays.,multi_hop,hard,S10,0.5071,0.5173,0.6791,0.3878,0.5113,3,18.59
Full-System,Q058,What events occurred during the amf overload causing registration delays incident and in what order?,temporal,medium,S10,0.6963,0.9152,0.9936,0.5056,0.6631,3,11.53
Full-System,Q059,What was the impact of the amf overload causing registration delays on user equipment and network services?,impact_analysis,medium,S10,0.711,0.8087,0.9862,0.4562,0.5678,2,10.84
Full-System,Q060,What does error code AMF_REG_REJECT_091 indicate and what caused it?,error_code,easy,S10,0.9516,0.9352,1.0,0.9087,0.7931,3,16.1
Full-System,Q061,Which failures affected multiple UEs simultaneously and what was the common cause?,cross_scenario,hard,"S02,S06,S08,S10",0.5364,0.5204,0.7981,0.3049,0.5563,3,17.53
Full-System,Q062,Compare the transport-layer failures: how does SCTP association failure differ from GTP-U path failure in terms of impact?,cross_scenario,hard,"S02,S06",0.6591,0.483,0.551,0.1099,0.5528,3,14.94
Full-System,Q063,What are all the scenarios where packet loss or data loss occurred and what were the root causes?,cross_scenario,hard,"S01,S03,S06",0.6519,0.5601,0.6798,0.1106,0.5032,3,16.43
Full-System,Q064,"Did any UE recover successfully after a failure, and if so, how long did the service interruption last?",cross_scenario,medium,"S03,S06,S07,S09",0.6827,0.702,0.6166,0.2988,0.7114,2,12.29
Full-System,Q065,"Was the UE7 failure related to the SCTP transport failure, or were they independent events?",contrastive,medium,"S01,S02",0.767,0.7019,0.6927,0.4681,0.6833,1,5.66
